name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
gowcaizr|Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer|parent|neogeo/neogeo.cpp|0|320|224|59.185606|neogeo|||neogeo/Technos
gpilots|Ghost Pilots|parent|neogeo/neogeo.cpp|0|320|224|59.185606|neogeo|||neogeo/SNK
gradius|Gradius|clone|konami/nemesis.cpp|0|256|224|60.606061||nemesis||Konami
gradius2|Gradius II - Gofer no Yabou (Japan set 1)|clone|konami/twin16.cpp|0|320|224|60.606061||vulcan||Konami
gradius3|Gradius III (Japan)|parent|konami/gradius3.cpp|0|320|224|60.000000||||Konami
gravitar|Gravitar (version 3)|parent|atari/bwidow.cpp|0|||61.523438||||Atari
gravitr2|Gravitar (version 2)|clone|atari/bwidow.cpp|0|||61.523438||gravitar||Atari
grdius2a|Gradius II - Gofer no Yabou (Japan set 2)|clone|konami/twin16.cpp|0|320|224|60.606061||vulcan||Konami
grdius2b|Gradius II - Gofer no Yabou (Japan set 3)|clone|konami/twin16.cpp|0|320|224|60.606061||vulcan||Konami
grdius3a|Gradius III (Asia)|clone|konami/gradius3.cpp|0|320|224|60.000000||gradius3||Konami
grescue|Galaxy Rescue|clone|midw8080/8080bw.cpp|270|260|224|59.541985||lrescue||Taito/Universal
gridiron|Gridiron Fight|parent|tecmo/tehkanwc.cpp|0|256|224|60.000000||||Tehkan
grindstm|Grind Stormer (Korea)|clone|toaplan/toaplan2.cpp|270|320|240|59.637405||vfive||Toaplan/Unite Trading
grobda|Grobda (New version)|parent|namco/mappy.cpp|90|288|224|60.606061||||Namco
grobda2|Grobda (Old version set 1)|clone|namco/mappy.cpp|90|288|224|60.606061||grobda||Namco
grobda3|Grobda (Old version set 2)|clone|namco/mappy.cpp|90|288|224|60.606061||grobda||Namco
growl|Growl (World)|parent|taito/taito_f2.cpp|0|320|224|60.000000||||Taito
growlu|Growl (US)|clone|taito/taito_f2.cpp|0|320|224|60.000000||growl||Taito
gryzor|Gryzor|clone|konami/contra.cpp|90|280|224|60.000000||contra||Konami
gsword|Great Swordsman|parent|taito/gsword.cpp|0|256|224|60.000000||||Taito
gteikoku|Gingateikoku No Gyakushu|clone|galaxian/galaxian.cpp|90|768|224|60.606061||uniwars||Irem
gtmr|Great 1000 Miles Rally|parent|kaneko/kaneko16.cpp|0|320|240|60.000000||||Kaneko
