name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
malzak|Malzak|parent|misc/malzak.cpp|0|240|240|50.000000|||preliminary|Kitronix
supertnk|Super Tank|parent|misc/supertnk.cpp|90|256|256|60.000000|||good|Video Games
crospang|Cross Pang|parent|f32/crospang.cpp|0|320|240|60.000000|||good|F2 System
funybubl|Funny Bubble|parent|comad/funybubl.cpp|0|320|224|60.000000|||good|Comad
nam1975|NAM-1975|parent|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo||good|neogeo/SNK
bstars|Baseball Stars Professional|parent|neogeo/neogeo.cpp|0|320|224|59.185608|neogeo||good|neogeo/SNK
tpgolf|Top Player's Golf|parent|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo||good|neogeo/SNK
mahretsu|Mahjong Kyoretsuden|parent|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo||good|neogeo/SNK
maglord|Magician Lord (set 1)|parent|neogeo/neogeo.cpp|0|320|224|59.185608|neogeo||good|Alpha Denshi/neogeo
maglordh|Magician Lord (set 2)|clone|neogeo/neogeo.cpp|0|320|224|59.185608|neogeo|maglord|good|Alpha Denshi/neogeo
ridhero|Riding Hero (set 1)|parent|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo||good|neogeo/SNK
ridheroh|Riding Hero (set 2)|clone|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo|ridhero|good|neogeo/SNK
alpham2|Alpha Mission II / ASO II - Last Guardian|parent|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo||good|neogeo/SNK
ncombat|Ninja Combat|parent|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo||good|Alpha Denshi/neogeo
cyberlip|Cyber-Lip|parent|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo||good|neogeo/SNK
superspy|The Super Spy|parent|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo||good|neogeo/SNK
mutnat|Mutation Nation|parent|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo||good|neogeo/SNK
kotm|King of the Monsters (set 1)|parent|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo||good|neogeo/SNK
kotmh|King of the Monsters (set 2)|clone|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo|kotm|good|neogeo/SNK
sengoku|Sengoku / Sengoku Denshou (set 1)|parent|neogeo/neogeo.cpp|0|320|224|59.185608|neogeo||good|neogeo/SNK
sengokh|Sengoku / Sengoku Denshou (set 2)|clone|neogeo/neogeo.cpp|0|320|224|59.185608|neogeo|sengoku|good|neogeo/SNK
burningf|Burning Fight (set 1)|parent|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo||good|neogeo/SNK
burningh|Burning Fight (set 2)|clone|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo|burningf|good|neogeo/SNK
lbowling|League Bowling|parent|neogeo/neogeo.cpp|0|304|224|59.185608|neogeo||good|neogeo/SNK
