name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
djboy|DJ Boy|parent|kaneko/djboy.cpp|0|256|224|57.500000||||Kaneko/Sammy/Williams
djboyj|DJ Boy (Japan)|clone|kaneko/djboy.cpp|0|256|224|57.500000||djboy||Kaneko/Sega
dkgenm72|Daiku no Gensan (Japan, M72)|clone|irem/m72.cpp|0|384|256|55.017606||hharry||Irem\M72
dkgensan|Daiku no Gensan (Japan)|clone|irem/m72.cpp|0|384|256|55.017606||hharry||Irem\M72
dkngjnrb|Donkey Kong Junior (bootleg?)|clone|nintendo/dkong.cpp|270|256|224|60.606061||dkongjr||Nintendo
dkngjnrj|Donkey Kong Junior (Japan?)|clone|nintendo/dkong.cpp|270|256|224|60.606061||dkongjr||Nintendo
dkong|Donkey Kong (US set 1)|parent|nintendo/dkong.cpp|270|256|224|60.606061||||Nintendo
dkong3|Donkey Kong 3 (US)|parent|nintendo/dkong.cpp|270|256|224|60.606061||||Nintendo
dkong3b|Donkey Kong 3 (bootleg on Donkey Kong Jr. hardware)|clone|nintendo/dkong.cpp|270|256|224|60.606061||dkong3||
dkong3j|Donkey Kong 3 (Japan)|clone|nintendo/dkong.cpp|270|256|224|60.606061||dkong3||Nintendo
dkongjo|Donkey Kong (Japan set 2)|clone|nintendo/dkong.cpp|270|256|224|60.606061||dkong||Nintendo
dkongjo1|Donkey Kong (Japan set 3) (bad dump?)|clone|nintendo/dkong.cpp|270|256|224|60.606061||dkong||Nintendo
dkongjp|Donkey Kong (Japan set 1)|clone|nintendo/dkong.cpp|270|256|224|60.606061||dkong||Nintendo
dkongjr|Donkey Kong Junior (US)|parent|nintendo/dkong.cpp|270|256|224|60.606061||||Nintendo
dkongjrb|Donkey Kong Jr. (bootleg)|clone|nintendo/dkong.cpp|270|256|224|60.606061||dkongjr||
dkongjrj|Donkey Kong Jr. (Japan)|clone|nintendo/dkong.cpp|270|256|224|60.606061||dkongjr||Nintendo
dkongjrm|Donkey Kong Jr. (Moon Cresta hardware)|clone|galaxian/galaxold.cpp|90|256|224|60.606061||dkongjr||
dkongo|Donkey Kong (US set 2)|clone|nintendo/dkong.cpp|270|256|224|60.606061||dkong||Nintendo
dlair|Dragon's Lair|parent|cinematronics/dlair.cpp|0|704|480|59.940057||||Cinematronics
dleague|Dynamite League (Japan)|parent|taito/taito_h.cpp|0|320|240|60.000000||||Taito
dmndrby|Diamond Derby (set 1)|parent|snk/dmndrby.cpp|0|256|224|60.000000||||Electrocoin
dmndrbya|Diamond Derby (set 2)|clone|snk/dmndrby.cpp|0|256|224|60.000000||dmndrby||Electrocoin
dmnfrnt|Demon Front (V102)|parent|igs/pgm.cpp|0|448|224|59.185606|pgm|||IGS
dmnfrnta|Demon Front (V105)|clone|igs/pgm.cpp|0|448|224|59.185606|pgm|dmnfrnt||IGS
dnmtdeka|Dynamite Deka (J 960515 V1.000)|clone|sega/stv.cpp|0|352|224|59.764802|stvbios|diehard||Sega
