name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
mshjr1|Marvel Super Heroes (951024 Japan)|clone|capcom/cps2.cpp|0|||||msh||Capcom\CPS2
mshu|Marvel Super Heroes (951024 USA)|clone|capcom/cps2.cpp|0|||||msh||Capcom\CPS2
mshb|Marvel Super Heroes (951117 Brazil)|clone|capcom/cps2.cpp|0|||||msh||Capcom\CPS2
mshh|Marvel Super Heroes (951117 Hispanic)|clone|capcom/cps2.cpp|0|||||msh||Capcom\CPS2
mshj|Marvel Super Heroes (951117 Japan)|clone|capcom/cps2.cpp|0|||||msh||Capcom\CPS2
mshvsfa1|Marvel Super Heroes vs Street Fighter (970620 Asia)|clone|capcom/cps2.cpp|0|||||mshvsf||Capcom\CPS2
mshvsfa|Marvel Super Heroes vs Street Fighter (970625 Asia)|clone|capcom/cps2.cpp|0|||||mshvsf||Capcom\CPS2
mshvsfb1|Marvel Super Heroes vs Street Fighter (970625 Brazil)|clone|capcom/cps2.cpp|0|||||mshvsf||Capcom\CPS2
mshvsf|Marvel Super Heroes vs Street Fighter (970625 Euro)|parent|capcom/cps2.cpp|0|||||||Capcom\CPS2
mshvsfh|Marvel Super Heroes vs Street Fighter (970625 Hispanic)|clone|capcom/cps2.cpp|0|||||mshvsf||Capcom\CPS2
mshvsfj2|Marvel Super Heroes vs Street Fighter (970625 Japan)|clone|capcom/cps2.cpp|0|||||mshvsf||Capcom\CPS2
mshvsfu1|Marvel Super Heroes vs Street Fighter (970625 USA)|clone|capcom/cps2.cpp|0|||||mshvsf||Capcom\CPS2
mshvsfj1|Marvel Super Heroes vs Street Fighter (970702 Japan)|clone|capcom/cps2.cpp|0|||||mshvsf||Capcom\CPS2
mshvsfj|Marvel Super Heroes vs Street Fighter (970707 Japan)|clone|capcom/cps2.cpp|0|||||mshvsf||Capcom\CPS2
mshvsfb|Marvel Super Heroes vs Street Fighter (970827 Brazil)|clone|capcom/cps2.cpp|0|||||mshvsf||Capcom\CPS2
mshvsfu|Marvel Super Heroes vs Street Fighter (970827 USA)|clone|capcom/cps2.cpp|0|||||mshvsf||Capcom\CPS2
mvscar1|Marvel vs Capcom - clash of super heroes (980112 Asia)|clone|capcom/cps2.cpp|0|||||mvsc||Capcom\CPS2
mvsc|Marvel vs Capcom - clash of super heroes (980112 Euro)|parent|capcom/cps2.cpp|0|||||||Capcom\CPS2
mvscjr1|Marvel vs Capcom - clash of super heroes (980112 Japan)|clone|capcom/cps2.cpp|0|||||mvsc||Capcom\CPS2
mvsca|Marvel vs Capcom - clash of super heroes (980123 Asia)|clone|capcom/cps2.cpp|0|||||mvsc||Capcom\CPS2
mvscb|Marvel vs Capcom - clash of super heroes (980123 Brazil)|clone|capcom/cps2.cpp|0|||||mvsc||Capcom\CPS2
mvsch|Marvel vs Capcom - clash of super heroes (980123 Hispanic)|clone|capcom/cps2.cpp|0|||||mvsc||Capcom\CPS2
mvscj|Marvel vs Capcom - clash of super heroes (980123 Japan)|clone|capcom/cps2.cpp|0|||||mvsc||Capcom\CPS2
mvscu|Marvel vs Capcom - clash of super heroes (980123 USA)|clone|capcom/cps2.cpp|0|||||mvsc||Capcom\CPS2
megaman|Mega Man - the power battle (951006 Asia)|parent|capcom/cps1.cpp|0|||||||Capcom\CPS1
megamn2a|Mega Man 2 - the power fighters (960708 Asia)|clone|capcom/cps2.cpp|0|||||megaman2||Capcom\CPS2
megaman2|Mega Man 2 - the power fighters (960708 USA)|parent|capcom/cps2.cpp|0|||||||Capcom\CPS2
mtwins|Mega Twins (chiki chiki boys 900619 etc)|parent|capcom/cps1.cpp|0|||||||Capcom\CPS1
mercs|Mercs (900302 etc)|parent|capcom/cps1.cpp|270|||||||Capcom\CPS1
mercsu|Mercs (900302 USA)|clone|capcom/cps1.cpp|270|||||mercs||Capcom\CPS1
mercsua|Mercs (900608 USA)|clone|capcom/cps1.cpp|270|||||mercs||Capcom\CPS1
mslug|Metal Slug - super vehicle-001|parent|neogeo/neogeo.cpp|0||||neogeo|||Nazca/neogeo
mslug2|Metal Slug 2 - super vehicle-001/II|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
mslug3|Metal Slug 3|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
mslug3n|Metal Slug 3 (not encrypted)|clone|neogeo/neogeo.cpp|0||||neogeo|mslug3||neogeo/SNK
mslug4|Metal Slug 4|parent|neogeo/neogeo.cpp|0||||neogeo|||Mega Enterprise/neogeo/Playmore
ms4plus|Metal Slug 4 Plus (bootleg) [Bootleg, bootleg of Metal Slug 4]|clone|neogeo/neogeo.cpp|0||||neogeo|mslug4||neogeo
mslug5|Metal Slug 5|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
ms5pcb|Metal Slug 5 (JAMMA PCB)|parent|neogeo/neopcb.cpp|0|||||||SNK
ms5plus|Metal Slug 5 Plus (bootleg) [Bootleg, bootleg of Metal Slug 5]|clone|neogeo/neogeo.cpp|0||||neogeo|mslug5||neogeo
